Day,Time Slot,Assigned Activity
Monday,6:00–7:00 PM,
Monday,7:00–8:00 PM,
Monday,8:00–9:00 PM,
Monday,9:00–10:30 PM,
Tuesday,6:00–7:00 PM,
Tuesday,7:00–8:00 PM,
Tuesday,8:00–9:00 PM,
Tuesday,9:00–10:30 PM,
Wednesday,6:00–7:00 PM,
Wednesday,7:00–8:00 PM,
Wednesday,8:00–9:00 PM,
Wednesday,9:00–10:30 PM,
Thursday,6:00–7:00 PM,
Thursday,7:00–8:00 PM,
Thursday,8:00–9:00 PM,
Thursday,9:00–10:30 PM,
Friday,6:00–7:00 PM,
Friday,7:00–8:00 PM,
Friday,8:00–9:00 PM,
Friday,9:00–10:30 PM,
Saturday,10:00–11:00 AM,
Saturday,11:00–12:00 PM,
Saturday,12:00–1:00 PM,
Saturday,1:00–2:00 PM,
Saturday,2:00–3:00 PM,
Saturday,3:00–4:00 PM,
Saturday,4:00–5:00 PM,
Saturday,5:00–6:00 PM,
Saturday,6:00–7:00 PM,
Saturday,7:00–8:00 PM,
Saturday,8:00–9:00 PM,
Saturday,9:00–10:00 PM,
Saturday,10:00–11:00 PM,
Sunday,10:00–11:00 AM,
Sunday,11:00–12:00 PM,
Sunday,12:00–1:00 PM,
Sunday,1:00–2:00 PM,
Sunday,2:00–3:00 PM,
Sunday,3:00–4:00 PM,
Sunday,4:00–5:00 PM,
Sunday,5:00–6:00 PM,
Sunday,6:00–7:00 PM,
Sunday,7:00–8:00 PM,
Sunday,8:00–9:00 PM,
Sunday,9:00–10:00 PM,
Sunday,10:00–11:00 PM,
